1,Above,ebuuv,Yukarısında
2,Across,ekros,Bir tarafından öbür tarafına
3,After,aftı,-den sonra
4,Against,egeynis,Karşı
5,Along,elong,Boyunca
6,Alongside,alongsayd,Yanına
7,Amid,eymid,Ortasına
8,Amidst,emids,Arasına
9,Among,emong,Arasında
10,Amongst,emongst,İçinde
11,Around,eraund,Etrafında
12,At,et,Bir yeri belirtmek için kullanılır -de
13,Beside,bisayd,Yanına
14,Besides,bisayds,-den başka
15,Between,bitvin,Arasında
16,By,bay,Yanında
17,Circa,sirka,Dolaylarında
18,Concerning,kınsörning,ile ilgili olarak
19,Except,iksept,-den başka
20,Excepting,iksepting,Hariç
21,Failing,feiling,Olmadığı takdirde
22,For,fo,İçin
23,From,from,İtibaren
24,In,in,İçinde
25,Into,intu,İçine
26,Like,layk,Gibi
27,Minus,maynıs,Eksi
28,Of,of,-in -nın
29,On,on,Üstünde
30,Onto,ontu,Üstüne
31,Per,pör,Başına
32,Plus,plas,Ve ayrıca
33,Regarding,rigarding,Hakkında -ilişkin
34,Save,seyv,-den başka … dışında ….hariç
35,Saving,seyving,-den başka … dışında ….hariç
36,Through,turuu,İçinden
37,Considering,kınsaydıring,-e göre
38,During,during,Esnasında
39,Till,til,-e kadar
40,Times,tayms,Kere defa
41,Abandon,Ebandın,Terk Etmek
42,Ability,Ebılıti,Yetenek
43,Able,Eybıl,Muktedir
44,Aboard,Ebord,(Bir Taşıtın)İçinde Olmak
45,About,Ebaut,1.Hakkında 2.Yaklaşık Olarak
46,Above,Ebav,Yukarıdaki
47,Abroad,Ebrod,Yurt Dışı
48,Absence,Ebsıns,Yokluk
49,Absent,Ebsınt,1.Yok 2.Eksik
50,Absolute,Ebsolut,Mutlak Kesin
51,Absurd,Ebzörd,Saçma
52,Accept,Eksept,Kabul Etmek
53,Accident,Eksidınt,Kaza
54,Accommodate,Ekomodeyt,Yerleştirmek
55,Accommodation,Ekomıdeyşın,Konaklama Yeri
56,Accompany,Ekampıni,Eşlik Etmek
57,According To,Ekording Tu,Göre
58,Account,Ekaunt,Hesap
59,Accurate,Ekürıt,Doğru
60,Faultless,Ekürıt,Hatasız
61,Accede,Aksiid,Razı olmak
62,Ant,Ent,Karınca
63,Anti,Anti,Karşı Zıt Ters
64,Anxiety,Enzayıti,Endişe
65,Anxious,Enkşıs,Endişeli
66,Any,Eni,Herhangi
67,Anybody,Enibadi,Herhangi Biri
68,Anyone,Enivan,Herhangi Biri
69,Anything,Enyting,Herhangi Bir Şey
70,Anyway,Enivey,Her Neyse
71,Anywhere,Eniveır,Herhangi Bir Yer
72,Apart,Epart,Ayrı
73,Apart From,Epart From,Hariç Dışında
74,Ape,Eyp,Maymun
75,Apologize,Epolocayz,Özür Dilemek
76,Apparent,Eperınt,Açık Kolayca Görünen
77,Appeal,Epiıl,1.Hoşa Giden 2.Yalvarmak 3.Üst Mahkemeye Başvurmak
78,Appear,Eppiır,Görünmek
79,Appearance,Eppiırıns,Görünüş
80,Appetite,Epıtayt,İştah
81,Appertain,Epıtein,Ait olmak
82,Ache,Eyk,Ağrı
83,Acquaint,Ekueynt,Tanımak Bilmek
84,Across,Ekros,1.Bir Uçtan Diğerine 2.Diğer Tarafta
85,Act,Ekt,1.Davranış 2.Davranmak
86,Active,Ektiv,Etkin Faal
87,Actor,Ektır,Erkek Oyuncu
88,Actress,Ektrıs,Kadın Oyuncu
89,Actual,Ekçuıl,Gerçek
90,Add,Ed,Toplamak Eklemek
91,Address,Edres,Adres
92,Administration,Edminıstreyşın,İdare
93,Admire,Edmayr,Beğenmek Hayran Olmak
94,Admit,Edmit,1.Kabul Etmek 2.İzin Vermek
95,Adult,Edalt,Yetişkin
96,Advance,Edvens,1.İleri 2.Avans
97,Advanced,Edvensd,Gelişmiş
98,Advantage,Edventıc,Avantaj
99,Adventure,Edvençur,Macera
100,Advertise,Edvırtayz,Reklam Yapmak İlan Vermek
101,Advice,Edvays,Tavsiye
102,Advise,Edvayz,Tavsiye Etmek
103,Applicant,Eplikınt,Başvuran
104,Application,Eplikeyşın,Başvuru
105,Apply,Eplay,1.Başvurmak 2.Uygulamak
106,Appoint,Eppoint,Atamak
107,Appointment,Eppointmınt,1.Randevu 2.Atama
108,Appreciate,Eprişieyt,Müteşekkir Değer Bilmek Beğenmek
109,Approach,Eproç,1.Yaklaşmak 2.Yaklaşım 3.Geliş
110,Approve,Epruv,Onaylamak
111,Approximate,Eproksimıt,Yaklaşık Olarak
112,Apricot,Eprikot,Kayısı
113,April,Eyprıl,Nisan
114,Archbishop,Arçbişıp,Başpiskopos
115,Architect,Arkitekt,Mimar
116,Architecture,Arkitekçır,Mimari
117,Area,Eriya,Alan Bölge
118,Argue,Argüu,Tartışmak
119,Argument,Argümınt,Tartışma
120,Arise,Erayz,Kalkmak Yükselmek
121,Aristocrat,Eristokrat,Aristokrat
122,Arm,Arm,Kol Silah
123,Armchair,Armçeir,Koltuk
124,Aerial,Eriyıl,Anten
125,Aeroplane,Eıropleyn,Uçak
126,Affair,Effeyır,1.Olay 2.İş 3.İlişki
127,Affect,Efekt,Etkilemek
128,Afford,Eford,Satın Alma Gücü Olmak
129,Afraid,Efreid,Korkmak
130,After,Aftır,Sonra
131,Afternoon,Aftırnuun,Öğleden Sonra
132,Afterwards,Aftırvördz,(Bir Olaydan) Sonra
133,Again,Egein,Bir Daha Yine
134,Against,Egeinst,Karşı Zıt
135,Age,Eyc,1.Yaş 2.Çağ
136,Aged,Eycd,Yaşında
137,Agency,Eycınsi,Acente
138,Agent,Eycınt,Temsilci Aracı
139,Aggressive,Egresiv,Saldırgan Kavgacı
140,Ago,Ego,Önce
141,Agree,Egrii,Anlaşmak
142,Agreement,Egriimınt,Anlaşma
143,Agriculture,Egrikalçır,Tarım
144,Ahead,Ehed,Önde
145,Aid,Eyd,Yardım
146,Aim,Eym,1.Amaç 2.Hedef Almak
147,Armour,Armır,Zırh
148,Army,Armi,Ordu
149,Around,Eraund,1.Aşağı Yukarı 2.Çevre
150,Arrange,Ereync,Düzenlemek Ayarlamak
151,Arrest,Erest,Tutuklamak
152,Arrival,Erayvıl,Varış
153,Arrive,Erayv,Varmak
154,Arrow,Erov,Ok
155,Art,Art,Sanat
156,Article,Artikl,1.Makale 2.Eşya
157,Artificial,Artifişıl,Yapay
158,Artist,Artist,Sanatçı
159,As,Ez,1.Gibi 2.Olarak 3.Olarak
160,Ash,Eş,Kül
161,Ashamed,Eşeymd,Utanmış
162,Aside,Esayd,Bir Yanda
163,Ask,Esk,Sormak İstemek
164,Asleep,Esliip,Uykuda
165,Ass,Es,1.Eşek 2.Aptal
166,Assembly,Esembli,1.Montaj 2.Oturum
167,Assist,Esist,Yardım Etmek
168,Assistant,Esistınt,Yardımcı
169,Associate,Esoşieyt,İlgilenmek Birleştirmek
170,Air,Eyr,1.Hava 2.Havalandırma
171,Alarm,Alarm,Alarm
172,Algebra,Alcebra,Cebir
173,Alike,Elaık,Hemen Hemen Aynı Benzer Aynı Yolda
174,Alive,Elaıv,Yaşamak Canlı
175,All,Ol,1.Hep 2.Tüm 3.Her
176,All Right,Ol Rayt,1.Tamam 2.Evet
177,Alliance,Elayıns,Bağlaşma Birlik Mütareke
178,Alligator,Aligeytır,Timsah
179,Allow,Elov,İzin Vermek
180,Almost,Olmost,Hemen Hemen
181,Alone,Elon,1.Yalnız 2.Tek
182,Along,Elong,1.Boyunca 2.İleri
183,Aloud,Elaud,Sesli
184,Already,Olredi,Az Önce Zaten
185,Also,Olso,Hem De
186,Although,Oldo,1.Gerçi 2.Olmakla Beraber
187,Altogether,Oltugedır,Tümüyle Hep Beraber
188,Always,Olveys,Her Zaman
189,Amaze,Emeyz,Şaşırtmak
190,Ambassador,Embesedır,Büyükelçi
191,Assume,Esuym,Varsaymak
